,precision,recall,f1-score,support
0,0.899203431372549,0.6542576905929559,0.7574193548387097,4486.0
1,0.8939759036144578,0.7556008146639511,0.8189845474613686,491.0
2,0.6782711066263034,0.872,0.7630309336865009,4625.0
3,0.9326310313434777,0.8859649122807017,0.908699233352341,8094.0
4,0.846694214876033,0.7555309734513275,0.7985190958690568,5424.0
5,0.883650399779432,0.8935043211597435,0.8885500415858054,3587.0
6,0.750498695718889,0.8747987837596136,0.8078956062107697,5591.0
accuracy,0.8268004210787046,0.8268004210787046,0.8268004210787046,0.8268004210787046
macro avg,0.8407035404758775,0.8130939279868991,0.8204426875720789,32298.0
weighted avg,0.8395767481241392,0.8268004210787046,0.8272733671171701,32298.0
