,precision,recall,f1-score,support
0,0.7225753537010458,0.7855550601872492,0.7527501869059062,4486.0
1,0.8377659574468085,0.6415478615071283,0.7266435986159169,491.0
2,0.689214270983708,0.7225945945945946,0.7055098163394554,4625.0
3,0.9484885872917952,0.759822090437361,0.8437371381533818,8094.0
4,0.708297395204416,0.7570058997050148,0.7318420818108903,5424.0
5,0.7897091722595079,0.8856983551714525,0.8349540078843627,3587.0
6,0.7326883910386965,0.7721337864424969,0.7518941043281373,5591.0
accuracy,0.771905381138151,0.771905381138151,0.771905381138151,0.771905381138151
macro avg,0.7755341611322825,0.7606225211493282,0.763904419148293,32298.0
weighted avg,0.7829726737701924,0.771905381138151,0.7738603646506242,32298.0
